Coupon_Number,ID,Amount_of_coupons,Expiration
52U81,1001OLES,1,2021-1-13
V5C00,1001LFOV,3,2021-2-14
RH0GO,1001KJA1,44,2021-2-26
YLYOR,1001KZ8I,23,2021-9-2
90ZU7,10015H7A,1,2022-1-13
5L0HL,1001SKIE,42,2022-2-12
IQT3I,1001RP4J,23,2022-3-5
JPWSD,1001052A,34,2022-6-1
O1FSO,1001CM12,5,2022-6-20
H3998,10019GCW,14,2022-8-31
B1W1M,10017KYB,5,2022-11-6
VV68A,100180MS,5,2022-12-27
5MWRG,1001TSVL,65,2023-1-28
45K36,1001GL6F,5,2023-1-31
GN2B2,1001EPSU,65,2023-9-16
TCRQA,1001O5GB,7,2023-12-28
X9Z2K,10010NP3,4,2024-8-13
2A6IG,1001NQ07,4,2024-10-1
WBSNK,1001LVMC,34,2025-1-28
S4ETK,1001VBAT,2,2025-2-20
R74OP,1001GTJM,2,2025-3-19
CQUZS,10014MUP,4,2025-6-2
EKLJN,100120GV,24,2025-7-26
38DY7,1001C64C,56,2025-8-22
6HKMG,1001OYD4,3,2025-10-24
X83SF,1001BRN8,4,2021-8-12
HVFIR,10019WAD,6,2021-9-3
PDM44,1001JCY4,3,2021-9-19
NT2LZ,1001436N,46,2021-9-24
K1DVE,1001RWHQ,23,2021-11-30
LHUIY,1001Q135,2,2022-1-8
NUYV4,10010HRM,34,2022-1-13
FQVW2,1001BZ0F,42,2022-2-12
JF01N,1001Y1B9,4,2022-4-5
S5B3P,1001X6OO,24,2022-4-30
MMLPE,10017DL5,2,2022-7-30
JOZIH,1001I4LX,6,2023-1-12
TMOIZ,1001FX51,3,2023-1-21
J43QJ,1001D2I6,4,2023-4-14
XQKT0,1001EIFN,2,2023-6-29
POFGY,1001Z9EF,4,2023-7-24
4DWAW,1001M2ZJ,24,2023-9-20
CPXPN,1001K7BP,2,2024-2-1
JWU9Y,1001UN96,4,2024-2-22
5A7FR,1001658Y,2,2024-4-10
R67EU,100138J2,4,2025-1-28
H1CZ3,10011C57,5,2025-2-13
GMF1X,10011J3O,35,2025-7-1
YX0QL,1001NA2G,56,2025-9-21
QBTJU,1001A3DK,6,2025-10-31
OLDRK,100188ZZ,7,2021-1-5
ENVJI,1001IOXG,4,2021-2-24
A0JY7,1001UFW8,6,2021-5-24
H4G79,1001H973,6,2022-8-7
RJHDQ,1001FDTI,74,2022-8-27
O3J04,1001PTQZ,4,2022-10-28
19BM0,1001ABQR,7,2022-11-19
18FBW,1001XE1L,4,2023-5-14
6JXB7,1001WIN0,7,2023-7-17
ZLSSR,10016YKH,3,2023-7-19
UKFK5,1001HGK9,4,2023-7-21
EDPRT,100149UD,2,2023-10-20
N5FAZ,10013EHJ,4,2023-11-6
MO2MP,1001DUEZ,24,2023-12-2
Z6LUL,1001O1FS,2,2024-4-13
CUA9S,1001OH39,4,2024-4-29
GSIL3,1001A9C2,2,2024-5-22
LTO1Z,1001X2NW,4,2024-6-7
FUB63,1001V69B,5,2024-7-22
BNXC3,10015MXS,35,2024-9-28
AQN78,1001H46K,56,2024-11-18
V9CIB,100147HO,6,2024-12-17
X3326,10012C3T,7,2025-1-4
MQVGP,1001CSRA,4,2025-9-2
P034Z,1001X902,6,2025-12-9
GRLAY,1001K3A6,6,2021-1-2
ZEX1A,1001JHXC,74,2021-3-19
8W5NN,1001TNLT,4,2021-3-23
6CK4H,10014FUL,3,2021-4-18
3KWEW,1001R84P,4,2021-6-14
40D1H,1001QCQU,2,2021-7-24
5DHEM,10010SEL,4,2021-10-4
Y8EFL,1001LKN3,24,2022-2-27
2YIK6,10018DY7,2,2022-8-1
BOTM8,10017IKM,4,2022-8-19
5547X,1001GY83,2,2022-12-9
27I10,1001SGHV,4,2022-12-29
B461I,1001FISQ,5,2023-3-12
2NM91,1001EN55,35,2023-4-1
G92CJ,1001NT2M,56,2023-5-20
77YYH,1001ZL1E,6,2023-10-28
NWFTE,1001WEMI,7,2023-11-30
V8G86,1001UJYN,4,2023-12-5
2ECSH,1001VZW4,6,2024-1-29
OSQY9,1001GQVW,6,2024-11-28
APQXD,10013JG0,74,2025-5-3
0KVIM,10011OS6,4,2025-7-15
Z5YJG,1001B4QM,7,2025-9-15
HFJ84,1001NMPF,4,2025-9-26
9UC2D,1001KP0I,7,2025-10-31
